               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.068371,            0.007739,            0.012062,             0.21166,             0.37118,              0.1861,            0.052035,            0.055544,           0.0069242,            0.015009,           0.0096634,           0.0096634,           0.0096634
                  36,            0.071311,           0.0069414,            0.010644,             0.20564,             0.37245,             0.16939,            0.048599,            0.058142,           0.0064004,            0.014294,           0.0096535,           0.0096535,           0.0096535
                  37,            0.061717,            0.007058,            0.010981,             0.21427,             0.38879,             0.19116,            0.051902,             0.05571,            0.006374,            0.015042,           0.0096436,           0.0096436,           0.0096436
                  38,            0.066865,           0.0071237,           0.0098307,             0.31849,             0.44439,             0.30792,            0.093463,            0.052419,           0.0066327,            0.014724,           0.0096337,           0.0096337,           0.0096337
                  39,            0.077461,           0.0082658,            0.012924,             0.30436,             0.43927,             0.30321,             0.11209,              0.0493,           0.0065703,            0.014965,           0.0096238,           0.0096238,           0.0096238
                  40,            0.067233,           0.0071592,             0.01418,             0.29215,             0.43372,             0.25003,            0.081089,            0.050741,           0.0067116,            0.014645,           0.0096139,           0.0096139,           0.0096139
                  41,            0.063308,           0.0080256,            0.012621,             0.31095,             0.35389,             0.28515,             0.09375,            0.046965,            0.006871,            0.014003,            0.009604,            0.009604,            0.009604
                  42,            0.056338,           0.0066507,            0.011579,             0.36304,             0.36119,             0.30855,             0.11585,            0.059396,           0.0059685,            0.013936,           0.0095941,           0.0095941,           0.0095941
                  43,            0.068687,           0.0072049,            0.011299,             0.35113,             0.39341,             0.28889,            0.082923,            0.052732,           0.0068235,            0.012074,           0.0095842,           0.0095842,           0.0095842
                  44,            0.065779,           0.0083656,             0.01224,             0.30028,             0.39944,             0.28845,            0.093232,            0.047437,           0.0067059,             0.01213,           0.0095743,           0.0095743,           0.0095743
                  45,            0.061734,            0.007228,            0.012492,             0.35804,              0.4161,             0.34269,               0.126,             0.04778,           0.0068864,            0.011261,           0.0095644,           0.0095644,           0.0095644
                  46,            0.062728,           0.0079122,            0.011474,             0.30507,             0.39785,             0.29077,             0.09486,            0.049169,           0.0067854,            0.010073,           0.0095545,           0.0095545,           0.0095545
                  47,             0.06341,           0.0075881,            0.010681,             0.36933,             0.45848,             0.34728,             0.11264,            0.047422,           0.0065329,            0.010377,           0.0095446,           0.0095446,           0.0095446
                  48,            0.063648,           0.0077182,            0.011493,             0.37576,               0.478,              0.3573,             0.11641,            0.046875,           0.0066422,            0.010663,           0.0095347,           0.0095347,           0.0095347
                  49,            0.058708,           0.0066751,            0.012084,             0.37502,             0.51878,             0.39401,             0.13377,            0.053067,           0.0060629,            0.011148,           0.0095248,           0.0095248,           0.0095248
                  50,            0.057853,           0.0066438,             0.01087,              0.3426,             0.51195,             0.34801,             0.11597,            0.049054,            0.006613,            0.011338,           0.0095149,           0.0095149,           0.0095149
                  51,            0.060894,           0.0083406,            0.011622,             0.33408,             0.46244,             0.34793,             0.12025,            0.044788,           0.0067739,            0.012061,            0.009505,            0.009505,            0.009505
                  52,             0.05493,           0.0076944,            0.011192,             0.39276,             0.47593,             0.37972,             0.13016,            0.043245,           0.0065568,             0.01306,           0.0094951,           0.0094951,           0.0094951
                  53,            0.057829,           0.0072676,            0.011014,             0.34063,             0.52307,             0.33573,             0.10345,            0.046659,           0.0063169,            0.012758,           0.0094852,           0.0094852,           0.0094852
                  54,            0.049601,           0.0063656,            0.010675,             0.34721,             0.45122,             0.34061,             0.11821,            0.047948,           0.0065197,             0.01433,           0.0094753,           0.0094753,           0.0094753
                  55,            0.062333,            0.006661,            0.011905,             0.30969,             0.42229,             0.31706,            0.098438,            0.045777,           0.0065068,            0.012526,           0.0094654,           0.0094654,           0.0094654
                  56,            0.049581,            0.007924,            0.010224,             0.37597,             0.57675,             0.42285,             0.13843,            0.044766,           0.0061986,            0.011337,           0.0094555,           0.0094555,           0.0094555
                  57,            0.058789,           0.0071339,           0.0092257,             0.27358,             0.48371,             0.32822,            0.089825,            0.046645,           0.0061212,           0.0097972,           0.0094456,           0.0094456,           0.0094456
                  58,             0.06093,           0.0080119,            0.010595,             0.31293,             0.52926,             0.35655,              0.1095,            0.047781,           0.0061674,           0.0091547,           0.0094357,           0.0094357,           0.0094357
                  59,            0.061682,           0.0077939,           0.0099116,             0.31449,              0.5064,             0.36527,             0.11813,            0.045772,           0.0063544,            0.010327,           0.0094258,           0.0094258,           0.0094258
                  60,            0.058524,           0.0069525,            0.010277,             0.35242,             0.57116,             0.41634,             0.14514,            0.043539,           0.0062051,            0.012082,           0.0094159,           0.0094159,           0.0094159
                  61,            0.060133,           0.0070465,            0.011663,              0.3976,             0.55418,             0.41402,              0.1608,            0.043463,           0.0065277,            0.010979,            0.009406,            0.009406,            0.009406
                  62,            0.057865,           0.0077535,            0.010436,             0.40295,             0.55226,             0.45548,             0.16854,            0.040903,            0.006423,            0.012035,           0.0093961,           0.0093961,           0.0093961
                  63,            0.058707,           0.0070462,            0.011663,             0.40645,              0.5569,             0.42871,             0.13886,            0.043126,           0.0062763,            0.013302,           0.0093862,           0.0093862,           0.0093862
                  64,            0.051375,           0.0069032,           0.0095975,             0.34365,             0.42642,             0.31635,             0.10499,            0.049208,           0.0061663,            0.012024,           0.0093763,           0.0093763,           0.0093763
                  65,            0.050566,            0.007355,            0.010108,             0.43221,             0.54355,             0.40251,              0.1345,            0.044069,           0.0062403,             0.01276,           0.0093664,           0.0093664,           0.0093664
                  66,            0.054337,           0.0080833,            0.010488,             0.43794,             0.50962,             0.41976,             0.12438,            0.043768,           0.0063519,            0.012066,           0.0093565,           0.0093565,           0.0093565
                  67,            0.059734,           0.0078536,            0.011504,             0.44847,             0.46657,             0.40122,              0.1336,            0.043331,           0.0061615,            0.011641,           0.0093466,           0.0093466,           0.0093466
